name,email,city,country,zip,signup_date,age,value
Emil Delacroix,emil.delacroix278@example.net,Ironwood,Japan,24750,2021-10-13,64,3233.45
Noor Lindqvist,noor.lindqvist279@example.net,Málaga,Canada,06302,2023-07-06,88,9578.28
José Kovács,jose.kovacs280@example.net,Málaga,Norway,86699,2022-05-09,49,9760.86
Freya Lindqvist,freya.lindqvist281@example.net,Ironwood,Uruguay,03253,2021-07-21,18,7761.69
Freya Costa,freya.costa282@example.net,Brightwater,Mexico,65089,2023-03-06,60,624.21
Théo Nakamura,theo.nakamura283@example.net,Ironwood,Denmark,06851,2023-01-27,88,1550.84
Noor Novak,noor.novak21@example.net,Brightwater,Mexico,62505,2021-11-28,56,8838.63
Selma Novak,selma.novak285@example.net,Coldspring,Uruguay,03465,2022-12-16,23,8511.15
ChloÃ© Silva,chloe.silva286@example.net,Quarrytown,Finland,81369,2021-04-06,82,1543.84
Noor Moreau,noor.moreau287@example.net,New Harbor,Norway,54985,2024-04-09,53,5126.18
Théo Delacroix,theo.delacroix288@example.net,Dunmore,Canada,03848,2021-09-19,64,3768.61
Emil Lindqvist,emil.lindqvist289@example.net,Málaga,Finland,08701,2023-08-26,81,597.10
Selma Yilmaz,selma.yilmaz290@example.net,New Harbor,Japan,06646,2021-06-29,64,
José Haddad,jose.haddad291@example.net,Málaga,Portugal,05507,2024-04-17,26,7368.94
Lucia Andersen,lucia.andersen292@example.net,Coldspring,Finland,56144,28/02/2021,70,893.55
Lucia Ramírez,lucia.ramirez293@example.net,Ironwood,Canada,06352,2023-02-01,58,3904.27
Óscar Ramírez,oscar.ramirez294@example.net,Coldspring,Norway,76639,2021-11-03,19,3681.21
Björn Costa,bjorn.costa295@example.net,Dunmore,Portugal,17887,2021-05-21,84,1244.20
Noor Weiss,noor.weiss296@example.net,DUNMORE,Mexico,07818,2023-11-16,72,9209.97
Emil Kovács,emil.kovacs297@example.net,Dunmore,Mexico,53891,2021-02-12,70,2528.53
Ingrid Marchetti,ingrid.marchetti298@example.net,Quarrytown,Finland,02824,2024-04-05,42,9233.43
Tomás Delacroix,tomas.delacroix299@example.net,Quarrytown,Portugal,87235,2021-11-24,63,7179.07
Renée Marchetti,renee.marchetti300@example.net,Málaga,Finland,73699,2022-12-20, 83 ,6609.61
Théo Marchetti,theo.marchetti301@example.net,Brightwater,Japan,90406,2022-08-03,73,5652.76
Óscar Haddad,oscar.haddad302@example.net,Dunmore,Uruguay,59331,2023-04-05,49,3705.31
José Delacroix,jose.delacroix303@example.net,Ironwood,Portugal,36457​,2023-01-10,null,4937.81
José Bergström,jose.bergstrom304@example.net,Ironwood,Uruguay,87096,2022-04-26,76,3410.83
José Sørensen,jose.sorensen305@example.net,Málaga,Denmark,60896,2024-07-17,N/A,3430.94
Hugo Moreau,hugo.moreau306@example.net,Silver Falls,Canada,99675,2021-12-10,49,null
Piotr Moreau,piotr.moreau307@example.net,Dunmore,Denmark,63549,12/07/2023,60,2076.37
Tomás Costa,tomas.costa308@example.net,Coldspring,Uruguay,15290,2023-08-03,41,8904.72
Chloé Marchetti,chloe.marchetti309@example.net,Dunmore,Japan,16523,2024-07-03,57,7562.54
Amara Ivanov,amara.ivanov310@example.net,Silver Falls,Denmark,94332,2022-08-18,63,2909.26
Piotr Bergström,piotr.bergstrom311@example.net,Quarrytown,Mexico,03771,2024-05-26,22,'9373.64
Emil Ivanov,emil.ivanov312@example.net,Silver Falls,Canada,64218,2021-03-25,70,2937.40
Selma Bergström,selma.bergstrom313@example.net,Ironwood,Finland,92588,2023-08-18,32,€3906.24
Tomás Ramírez,tomas.ramirez20@example.net,Quarrytown,Norway,91044,2023-07-01,29,8771.63
Zoë Andersen,zoe.andersen315@example.net,Silver  Falls,Portugal,30215,21/07/2023,76,5169.25
Björn Yilmaz,bjorn.yilmaz316@example.net,Silver  Falls,Norway,06871,2024-03-06,63,3259.91
Selma Ivanov,selma.ivanov317@example.net,Silver Falls,Portugal,89920,2023-06-07,NA,3590.95
Selma Haddad,selma.haddad318@example.net,Dunmore,Denmark,29207,2022-01-01,30,1981.01
Ingrid Sørensen, ingrid.sorensen319@example.net ,New Harbor,Finland,04717,2024-01-03,28,
Aurora Novak,aurora.novak320@example.net,Brightwater,Norway,75617,30/07/2022,48,7651.03
José Dupont,jose.dupont321@example.net,Ironwood,Canada,24548,15/12/2022,85,9324.90
Tomás Lindqvist,tomas.lindqvist322@example.net,Dunmore,Mexico,74094,2024-03-24,45,2823.21
Ingrid Weiss,ingrid.weiss323@example.net,Málaga,Canada,47454,2022-01-16,,7887.33
Selma Weiss,selma.weiss324@example.net,Brightwater,Denmark,99812,29/04/2021,50,5986.10
Björn Dupont,bjorn.dupont325@example.net,Silver Falls,Norway,07436,2022-12-27,31,6382.42
Freya Nakamura,freya.nakamura97@example.net,Málaga,Mexico,25645,2022-04-28,69,9734.07
Théo Bergström,theo.bergstrom327@example.net,New Harbor,Norway,63115,2024-06-27,46,61904.12
Chloé Ivanov,chloe.ivanov328@example.net,Quarrytown,Japan,09140,2023-03-25,29,364.58
Hugo Delacroix,hugo.delacroix329@example.net,Silver Falls,Mexico,27099,2021-08-05,54,3740.96
TomÃ¡s Okafor,tomas.okafor330@example.net,New Harbor,Japan,58722,2022-04-04,47,8707.04
Zoë Novak,zoe.novak331@example.net,Brightwater,Canada,88720,2024-06-17,30,"2396,52"
Théo Novak,theo.novak332@example.net,Silver Falls,Portugal,89131,2024-02-14,68,714.10
Renée Moreau,renee.moreau333@example.net,Coldspring,Portugal,34417,2021-07-19,29,
Chloé Sørensen,chloe.sorensen334@example.net,Ironwood,Finland,73368,2021-03-10,66,2161.46
Hugo Marchetti,hugo.marchetti335@example.net,Ironwood,Uruguay,88670,2021-01-07,60,€3463.59
Noor FernÃ¡ndez,noor.fernandez336@example.net,Quarrytown,Norway,94395,2023-12-09,30,"9,527.87"
Aurora Ivanov,aurora.ivanov337@example.net,Dunmore,Denmark,66807,2022-02-19,51,"4294,63"
Amara Novak,amara.novak338@example.net,MÃ¡laga,Denmark,32611,2023-08-16,#N/A,3255.08
Óscar Delacroix,oscar.delacroix339@example.net,Quarrytown,Canada,68466,2021-12-06,48,1903.81
Nadia Bergström,nadia.bergstrom340@example.net​,Quarrytown,Uruguay,06695,2021-03-18,60, 2745.32 
Ingrid Dupont,ingrid.dupont341@example.net,Brightwater,Norway,71245,2021-09-06,79,2226.87
Ingrid Ramírez,ingrid.ramirez342@example.net,QUARRYTOWN,Norway,40188,2022-11-21,30,  6183.81 
Noor Andersen,noor.andersen343@example.net,New Harbor,Mexico,09737,2024-02-04,83,1599.28
Nadia Fernández,nadia.fernandez344@example.net,Coldspring,Finland,91617,2022-09-06,57,293.80
Óscar Moreau,oscar.moreau345@example.net,New Harbor,Japan,65579,2023-05-15,60,
Mikael Ivanov,mikael.ivanov119@example.net,Quarrytown,Denmark,99850,2024-01-04,84,1109.87
Emil Sørensen,emil.sorensen347@example.net,Quarrytown,Mexico,37200,2022-08-03,71,
Nadia Lindqvist,nadia.lindqvist348@example.net,Silver Falls,Finland,46905,2024-03-14,57,8943.93
Lucia Delacroix,lucia.delacroix349@example.net,Málaga,Norway,18200,2023-05-25,22,6914.72
Mikael Haddad,mikael.haddad350@example.net,Coldspring,Portugal,20867,2023-06-13,34,4490.02
Piotr Costa,piotr.costa351@example.net,Málaga,Uruguay,84811,2022-08-09,49,8388.52
Zoë Weiss,zoe.weiss352@example.net,New Harbor,Denmark,82753,2022-01-03,31,1733.19
Théo Ivanov,theo.ivanov353@example.net,Brightwater,Mexico,74875,2024-02-25,35,8935.50
Hugo Weiss,hugo.weiss354@example.net,Brightwater,Mexico,83119,2024-03-10,31,71265.09
Zoë Ramírez,zoe.ramirez355@example.net,Quarrytown,Uruguay,83206,2021-03-06,18,1811.56
Chloé Haddad,chloe.haddad356@example.net,Coldspring,Norway,13756,2024-02-12,76,2189.22
Tomás Ivanov,tomas.ivanov357@example.net,New Harbor,Portugal,87879,2023-06-27,23,
BjÃ¶rn BergstrÃ¶m,bjorn.bergstrom358@example.net,Coldspring,Mexico,98177,2021-08-12,61,6409.06
Tomás Novak,tomas.novak359@example.net,Coldspring,Mexico,07910,2023-07-06,82,
Noor Silva,noor.silva360@example.net,Coldspring,Finland,92177,2022-01-03,549,6222.76
Lucia Fernández,lucia.fernandez361@example.net,Quarrytown,Denmark,39504,2021-05-12,64,8879.04
Emil Fernández,emil.fernandez362@example.net,New Harbor,Japan,49841,2023-07-15,31,265.20
Björn Kovács,bjorn.kovacs363@example.net,New Harbor,Uruguay,55679,2021-08-13,61,2144.62
Selma Fernández,selma.fernandez71@example.net,Málaga,Norway,26774,2021-12-08,32,8654.60
Tomás Dupont,tomas.dupont365@example.net,Coldspring,Norway,68848,2023-04-10,78,8689.19
Óscar Dupont,oscar.dupont366@example.net,Brightwater,Portugal,21594,2024-02-27,25,642.84
Mikael Silva,mikael.silva367@example.net,Ironwood,Canada,68766,2022-03-15,78,4213.47
Zoë Fernández,zoe.fernandez368@example.net,Dunmore,Finland,51242,2023-12-11,36,9256.67
Óscar Andersen,oscar.andersen369@example.net,Brightwater,Canada,08376,2022-01-24,52,8713.38
Amara Nakamura,amara.nakamura370@example.net,Málaga,Norway,19783,2023-06-23,39,9679.61
Piotr Sørensen,piotr.sorensen371@example.net,Málaga,Denmark,89311,2021-09-28,90,389.06
Emil Ramírez,emil.ramirez372@example.net,Silver Falls,Denmark,03393,2023-06-19,34,7967.66
Óscar Sørensen,oscar.sorensen373@example.net,Quarrytown,Finland,61660,2024-06-19,,1354.36
Nadia Kovács,nadia.kovacs374@example.net,Silver Falls,Japan,69880,2022-05-25,58,4439.69
Théo Silva,theo.silva375@example.net,Ironwood,Japan,73689,2024-01-24,67,6314.15
Piotr Dupont,piotr.dupont376@example.net,Málaga,Mexico,28140,2022-09-02,19,N/A
Théo Sørensen,theo.sorensen377@example.net,Dunmore,Japan,85500,2022-05-28,34,5208.79
Amara Marchetti,amara.marchetti378@example.net,Quarrytown,Mexico,18654,2021-03-15,71,2544.06
Mikael Dupont,mikael.dupont379@example.net,Brightwater,Uruguay,80498,2024-07-17,52,
Aurora Sørensen,aurora.sorensen380@example.net,New Harbor,Uruguay,50614,09/03/2023,,9244.51
José Fernández,jose.fernandez381@example.net,Coldspring,Canada,05535,31/05/2023,18,7863.74
Emil Marchetti,emil.marchetti382@example.net,Silver Falls,Uruguay,14436,2024-02-24,44,3123.21
Lucia Haddad,lucia.haddad383@example.net,Málaga,Uruguay,08240,2021-10-18,37,8638.28
Emil Bergström,emil.bergstrom384@example.net,Brightwater,Norway,08576,2023-06-07,49,2052.46
Tomás Nakamura,tomas.nakamura385@example.net,Ironwood,Finland,57535,2021-05-30,89,3036.65
Tomás Weiss,tomas.weiss386@example.net,Málaga,Japbn,25330,2024-03-23,36,7799.91
Renée Weiss,renee.weiss387@example.net,Brightwater,(Uruguay),01202,2022-08-17,64,5464.39
Aurora Costa,aurora.costa388@example.net,New Harbor,Norway,08846,2021-06-09,90,5642.03
Aurora Haddad,aurora.haddad389@example.net,New Harbor,Portugal,03603,2023-06-25,86,529.84
Nadia Moreau,nadia.moreau390@example.net,Dunmore,Uruguay,39634,2024-05-01,90,"9093,77"
RenÃ©e Lindqvist,renee.lindqvist391@example.net,Coldspring,Finland,04343,2023-08-28,,8653.34
Nadia Marchetti,nadia.marchetti392@example.net,New Harbor,Denmark,24664,2022-10-12,70,8889.43
Lucia Okafor,lucia.okafor393@example.net,Quarrytown,Japan,29682,2021-01-17,20,3615.77
Zoë Delacroix,zoe.delacroix394@example.net,Coldspring,  Canada ,65849,2023-03-19,50,1019.30
Mikael Delacroix,mikael.delacroix395@example.net,Quarrytown,Canada,35931,2022-11-10,36,5868.75
Noor Marchetti,noor.marchetti396@example.net,New Harbor,Norway,60608,2021-04-28,81,7285.37
Renée Yilmaz,renee.yilmaz397@example.net,New Harbor,Finland,73336,2021-12-30,82,5144.71
Björn Moreau,bjorn.moreau398@example.net,Coldspring,Denmark,63673,2021-03-05,56,2173.08
Théo Dupont,theo.dupont399@example.net,QUARRYTOWN,Portugal,08023,2023-01-16,83,5113.30
